A;20.11.2022;17:00;Katar;- ;Ecuador;-:-  ;
A;21.11.2022;17:00;Sénégal;- ;Holland;-:-  ;
A;25.11.2022;14:00;Katar;- ;Sénégal;-:-  ;
A;25.11.2022;17:00;Holland;- ;Ecuador;-:-  ;
A;29.11.2022;16:00;Holland;- ;Katar;-:-  ;
A;29.11.2022;16:00;Ecuador;- ;Sénégal;-:-  ;
B;21.11.2022;14:00;England;- ;Iran;-:-  ;
B;21.11.2022;20:00;USA;- ;Wales;-:-  ;
B;25.11.2022;11:00;Wales;- ;Iran;-:-  ;
B;25.11.2022;20:00;England;- ;USA;-:-  ;
B;29.11.2022;20:00;Wales;- ;England;-:-  ;
B;29.11.2022;20:00;Iran;- ;USA;-:-  ;
C;22.11.2022;11:00;Argentinien;- ;Saudi-Arabien;-:-  ;
C;22.11.2022;17:00;Mexiko;- ;Polen;-:-  ;
C;26.11.2022;14:00;Polen;- ;Saudi-Arabien;-:-  ;
C;26.11.2022;20:00;Argentinien;- ;Mexiko;-:-  ;
C;30.11.2022;20:00;Polen;- ;Argentinien;-:-  ;
C;30.11.2022;20:00;Saudi-Arabien;- ;Mexiko;-:-  ;
D;22.11.2022;14:00;Dänemark;- ;Tunesien;-:-  ;
D;22.11.2022;20:00;Frankreich;- ;Australien;-:-  ;
D;26.11.2022;11:00;Tunesien;- ;Australien;-:-  ;
D;26.11.2022;17:00;Frankreich;- ;Dänemark;-:-  ;
D;30.11.2022;16:00;Tunesien;- ;Frankreich;-:-  ;
D;30.11.2022;16:00;Australien;- ;Dänemark;-:-  ;
E;23.11.2022;14:00;Deutschland;- ;Japan;-:-  ;
E;23.11.2022;17:00;Spanien;- ;Costa Rica;-:-  ;
E;27.11.2022;11:00;Japan;- ;Costa Rica;-:-  ;
E;27.11.2022;20:00;Spanien;- ;Deutschland;-:-  ;
E;01.12.2022;20:00;Japan;- ;Spanien;-:-  ;
E;01.12.2022;20:00;Costa Rica;- ;Deutschland;-:-  ;
F;23.11.2022;11:00;Marokko;- ;Kroatien;-:-  ;
F;23.11.2022;20:00;Belgien;- ;Kanada;-:-  ;
F;27.11.2022;14:00;Belgien;- ;Marokko;-:-  ;
F;27.11.2022;17:00;Kroatien;- ;Kanada;-:-  ;
F;01.12.2022;16:00;Kroatien;- ;Belgien;-:-  ;
F;01.12.2022;16:00;Kanada;- ;Marokko;-:-  ;
G;24.11.2022;11:00;Schweiz;- ;Kamerun;-:-  ;
G;24.11.2022;20:00;Brasilien;- ;Serbien;-:-  ;
G;28.11.2022;11:00;Kamerun;- ;Serbien;-:-  ;
G;28.11.2022;17:00;Brasilien;- ;Schweiz;-:-  ;
G;02.12.2022;20:00;Kamerun;- ;Brasilien;-:-  ;
G;02.12.2022;20:00;Serbien;- ;Schweiz;-:-  ;
H;24.11.2022;14:00;Uruguay;- ;Südkorea;-:-  ;
H;24.11.2022;17:00;Portugal;- ;Ghana;-:-  ;
H;28.11.2022;14:00;Südkorea;- ;Ghana;-:-  ;
H;28.11.2022;20:00;Portugal;- ;Uruguay;-:-  ;
H;02.12.2022;16:00;Südkorea;- ;Portugal;-:-  ;
H;02.12.2022;16:00;Ghana;- ;Uruguay;-:-  ;
